File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:00:01
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:00:31
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:01:01
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:01:31
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:02:01
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:02:31
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:03:01
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:03:31
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:04:01
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:04:31
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:05:01
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:05:31
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:06:01
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:06:31
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:07:01
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:07:31
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:08:01
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:08:31
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:09:01
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:09:31
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:10:01
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:10:31
File path: C:\Users\Anand\Desktop\Python\Marvellous_Infosystem_Python\Assign31 | File size in bytes: 4096 | Date and time: 31-07-2026 17:11:01
