Proess Information Log - Mon Aug  3 18:57:48 2026
=================================================================

PID        Name                           Username:<25=================================================================
True System Idle Process            N/A                      
True System                         N/A                      
False N/A                            N/A                      
False Registry                       N/A                      
False winlogon.exe                   N/A                      
False smss.exe                       N/A                      
False LsaIso.exe                     N/A                      
False services.exe                   N/A                      
False csrss.exe                      N/A                      
False wlanext.exe                    N/A                      
False wininit.exe                    N/A                      
False csrss.exe                      N/A                      
False promecefpluginhost.exe         N/A                      
False UserOOBEBroker.exe             N/A                      
False lsass.exe                      N/A                      
False IntelCpHDCPSvc.exe             N/A                      
False svchost.exe                    N/A                      
False WUDFHost.exe                   N/A                      
False fontdrvhost.exe                N/A                      
False fontdrvhost.exe                N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False WUDFHost.exe                   N/A                      
False RuntimeBroker.exe              N/A                      
False dwm.exe                        N/A                      
False AdobeCollabSync.exe            N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False chrome.exe                     N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False msedgewebview2.exe             N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False MemCompression                 N/A                      
False CodeSetup-stable-e4c7e7b1d6d060162f4aa7f8225271b67ce1df75.exe N/A                      
False svchost.exe                    N/A                      
False chrome.exe                     N/A                      
False dasHost.exe                    N/A                      
False Code.exe                       N/A                      
False svchost.exe                    N/A                      
False SecurityHealthSystray.exe      N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False uihost.exe                     N/A                      
False IntelAudioService.exe          N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False msedgewebview2.exe             N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False chrome.exe                     N/A                      
False spoolsv.exe                    N/A                      
False svchost.exe                    N/A                      
False elevation_service.exe          N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False ms-teams.exe                   N/A                      
False svchost.exe                    N/A                      
False armsvc.exe                     N/A                      
False svchost.exe                    N/A                      
False svchost.exe                    N/A                      
False OfficeClickToRun.exe           N/A                      
False svchost.exe                    N/A                      
False ipfsvc.exe                     N/A                      
False Code.exe                       N/A                      
False svchost.exe                    N/A                      
False ipf_uf.exe                     N/A                      
False jhi_service.exe                N/A                      
False mc-fw-host.exe                 N/A                      
False WindowsTerminal.exe            N/A                      
False servicehost.exe                N/A                      
False RtkAudUService64.exe           N/A                      
False svchost.exe                    N/A                      
False wps.exe                        N/A                      
False svchost.exe                    N/A                      
